"lat" "lon" "january" "february" "march" "april" "may" "june" "july" "august" "september" "october" "november" "december" "annual"
"148" -54.583 158.917 85.8 80.3 98.5 96.3 82.4 78.8 70.6 68.9 72.1 72.7 71 75.1 952.5
"3549" -43.583 146.583 77.2 69 83.3 115.1 122.9 120.3 139.9 131.9 120.4 113.7 101.4 102.8 1297.9
"3550" -43.583 146.75 77.1 70.8 84.3 113.8 122.5 121.4 139.6 132.4 119.9 117.3 106.4 106.2 1311.7
"3551" -43.583 146.917 61.1 58.8 68.7 92.6 98.5 98.5 114.6 106 96.9 95.4 85.7 88.6 1065.4
"3620" -43.417 146.083 100.7 80 100.4 143.9 154.8 146.5 177.6 169 159.3 143.5 122.1 126.4 1624.2
"3621" -43.417 146.25 96.1 78.4 97.6 139.2 150.1 142.9 170.9 163.1 152.4 139.3 120.3 122.9 1573.2
"3622" -43.417 146.417 90 75.9 93.7 131.9 142.9 136.7 161.7 154.8 143.7 133.9 117.7 118.7 1501.6
"3623" -43.417 146.583 85.1 74.3 90.6 124.8 136 131.2 153.3 147.2 135.8 130.2 116.7 115.8 1441
"3624" -43.417 146.75 84.5 76.9 91.2 122.1 133.3 130.6 149.7 144.4 131.6 131.1 120.7 117.3 1433.4
"3625" -43.417 146.917 61.2 56.9 68.4 88.9 97.2 95.7 113.9 106.9 98 98.2 87.9 90.2 1063.4
"3626" -43.417 147.25 60.4 59 63.5 82.2 89.7 88.6 107.6 99.4 88.4 91.8 85.4 88 1004
"3697" -43.25 145.917 109.1 82.1 105.5 151.6 164.7 152.3 190.8 181.4 175.6 156.3 129.6 136.7 1735.7
"3698" -43.25 146.083 108.4 82.5 105.5 152.3 165.8 153.7 190.8 182.3 175.7 158.3 132.1 138.1 1745.5
"3699" -43.25 146.25 103.5 81.3 102.9 148.2 162 150.8 184.2 177.1 169.4 155 132 135.4 1701.8
"3700" -43.25 146.417 97.1 80.2 99.8 141.8 155.5 146.2 174.1 168.7 159.6 149.8 131.8 131.3 1635.9
"3701" -43.25 146.583 90.4 78.6 95.5 132.3 145.4 138.4 161.1 156.8 146.6 141.9 128.8 125.1 1540.9
"3702" -43.25 146.75 80.7 73.2 87 116.9 129 123.7 143.3 139.1 128.5 128 118.2 114 1381.6
"3703" -43.25 146.917 63.1 55.8 67.3 85.3 96.6 91.5 114 107.3 99.1 100.3 90 91 1061.3
"3704" -43.25 147.083 55.4 49.6 57.2 70.7 79.7 76 98.4 91.3 84 85.9 78.8 80.7 907.7
"3705" -43.25 147.25 55.6 53.5 57.5 72.7 79.5 76.8 95.5 89.6 80.6 85 79.5 81 906.8
"3777" -43.083 145.75 119.5 87.1 114.2 163.6 178.7 163.8 207.7 197.9 193.9 171.7 141.4 148.9 1888.4
"3778" -43.083 145.917 122.4 88.4 115.5 167.4 183.4 167.4 213 203.4 199.9 178.7 145.8 154.4 1939.7
"3779" -43.083 146.083 124.2 91 117.8 172.5 189.2 173.5 217.6 209.3 205 186.3 153.7 160.3 2000.4
"3780" -43.083 146.25 111 84.5 108.1 158 174.2 159.3 197.4 190.9 186.1 170.4 143.5 147.5 1830.9
"3781" -43.083 146.417 96.3 78.1 98.1 142 157.3 144.2 174.5 170.1 164 152.3 133.3 133 1643.2
"3782" -43.083 146.583 85.6 74.5 90.8 128.3 142.2 131.9 154.9 152.1 144.4 138.3 126.1 121.7 1490.8
"3783" -43.083 146.75 65.4 57.9 71.3 95.3 108.2 98.6 122 117.7 111.4 106.4 96.8 95.1 1146.1
"3784" -43.083 146.917 59.6 53.7 64 81.6 92.5 85.6 107.8 102.6 96.3 95.9 88.3 86.1 1014
"3785" -43.083 147.083 56.9 53.9 60.4 76.3 84.2 80 98.6 94.3 87 90.5 85.5 82.2 949.8
"3786" -43.083 147.25 51 50 53 67.3 72 68.3 84.6 81.7 74.7 79.5 75 74 831.1
"3787" -43.083 147.75 54.8 58 56.6 72.1 80.2 73 88.5 85.3 65.2 76.5 71.8 83.3 865.3
"3788" -43.083 147.917 59.3 64.2 62.4 80.7 91.2 84.2 98.5 95 70.7 83.3 78.2 91.7 959.4
"3862" -42.917 145.583 118.6 86.5 115 162.4 178 162.5 206.2 196.5 193 169 141 146.8 1875.5
"3863" -42.917 145.75 128.9 91.5 121.6 175 192.3 174.5 223 212.7 210.6 186.6 152.7 160.7 2030.1
"3864" -42.917 145.917 136.8 95.2 126 184.5 203.1 183.6 236.5 226 225 201.9 162.4 172.7 2153.7
"3865" -42.917 146.083 134.5 94.1 123.4 182.8 201.7 181.8 234 224.5 223.9 203.1 163.3 173.3 2140.4
"3866" -42.917 146.25 115.5 85 110 163.3 180.9 162.6 205.3 198.5 197.1 179.8 149.3 154.4 1901.7
"3867" -42.917 146.417 99.8 81 101.1 148.3 163.4 149.7 178.4 174.8 170.4 160.6 142.8 138.7 1709
"3868" -42.917 146.583 84.7 74.5 89.8 128.9 141.9 130.8 151.5 150 143.9 139.3 129.2 121.6 1486.1
